title,id,authors,concepts
A CFD study on improving air flow uniformity in indoor plant factory system,https://openalex.org/W2350211010,"Ying Zhang,Murat Kaçıra,Lingling An","Plant factory,Airflow,Computational fluid dynamics,Environmental science,Transpiration,Factory (object-oriented programming),Boundary layer,Flow (mathematics),Environmental engineering,Marine engineering,Engineering,Mechanical engineering,Mechanics,Computer science,Agronomy,Physics,Aerospace engineering,Programming language,Photosynthesis,Botany,Biology"
"See Me Smoke-Free: Protocol for a Research Study to Develop and Test the Feasibility of an mHealth App for Women to Address Smoking, Diet, and Physical Activity",https://openalex.org/W2258316425,"Thienne Johnson,Julie Armin","mHealth,Smoking cessation,Psychological intervention,Behavior change,Behavior change methods,Multimedia,Protocol (science),Applied psychology,Intervention (counseling),Medicine,Test (biology),Interface (matter),Physical activity,Psychology,Computer science,Physical therapy,Social psychology,Alternative medicine,Nursing,Paleontology,Bubble,Pathology,Maximum bubble pressure method,Parallel computing,Biology"
Genome-Wide Analysis of the TORC1 and Osmotic Stress Signaling Network in<i>Saccharomyces cerevisiae</i>,https://openalex.org/W2295077943,"Jeremy Worley,Arron Sullivan,Xiangxia Luo,Matt Kaplan,Andrew P. Capaldi","Saccharomyces cerevisiae,Ribosome biogenesis,Cell biology,Biology,Signal transduction,Cell growth,Osmotic shock,Yeast,Regulator,Gene,Biochemistry,Ribosome,RNA"
Active Control of a Turbulent Mixing Layer using Pulsed Laser and Pulsed Plasma,https://openalex.org/W2325494699,"Ashish Singh,Jesse Little","Mixing (physics),Pulsed laser,Plasma,Turbulence,Materials science,Mechanics,Laser,Physics,Optics,Nuclear physics,Quantum mechanics"
Active control of a turbulent mixing layer using a pulsed laser and an ns-DBD plasma actuator,https://openalex.org/W2622582439,Ashish Singh,"Plasma actuator,Mechanics,Schlieren,Turbulence,Flow control (data),Splitter plate,Optics,Laser,Turbulence kinetic energy,Plasma,Physics,Dielectric barrier discharge,Computer network,Quantum mechanics,Computer science"
The International Deep Planet Survey,https://openalex.org/W3124856963,"Travis Barman,J. Patience","Exoplanet,Physics,Planet,Stars,Astrophysics,Astronomy,Monte Carlo method,Radial velocity,Planetary system,Transit (satellite),Law,Public transport,Political science,Statistics,Mathematics"
DISCOVERY OF A SUBSTELLAR COMPANION TO THE NEARBY DEBRIS DISK HOST HR 2562,https://openalex.org/W3099327199,"Travis Barman,Jennifer Patience,Abhijith Rajan,Kimberly Ward-Duong","Physics,Debris disk,Astrophysics,Astronomy,Photometry (optics),Debris,Brown dwarf,Proper motion,Stellar classification,Planet,Luminosity,Planetary system,Stars,Galaxy,Meteorology"
VARIATION IN THE PRE-TRANSIT BALMER LINE SIGNAL AROUND THE HOT JUPITER HD 189733B,https://openalex.org/W3104050537,Travis Barman,"Transit (satellite),Balmer series,Physics,Astrophysics,Hot Jupiter,Exoplanet,Spectral line,Astronomy,Planet,Emission spectrum,Public transport,Political science,Law"
EVIDENCE FOR THE DIRECT DETECTION OF THE THERMAL SPECTRUM OF THE NON-TRANSITING HOT GAS GIANT HD 88133 b,https://openalex.org/W2524314881,"Travis Barman,Chad F. Bender","Physics,Astrophysics,Orbital inclination,Exoplanet,Radial velocity,Planet,Opacity,Spectral line,Atmosphere (unit),Astronomy,Super-Earth,Emission spectrum,Stars,Binary number,Optics,Thermodynamics,Arithmetic,Mathematics"
"ON THE COMPOSITION OF YOUNG, DIRECTLY IMAGED GIANT PLANETS",https://openalex.org/W3099428081,Travis Barman,"Hot Jupiter,Planet,Giant planet,Physics,Astrophysics,Exoplanet,Gas giant,Disequilibrium,Astrobiology,Planetary system,Astronomy,Medicine,Ophthalmology"
DYNAMICAL MASS MEASUREMENT OF THE YOUNG SPECTROSCOPIC BINARY V343 NORMAE AaAb RESOLVED WITH THE GEMINI PLANET IMAGER,https://openalex.org/W3106052733,"Travis Barman,J. Patience,Abhijith Rajan,Kimberly Ward-Duong","Physics,Astrometry,Binary number,Astrophysics,Photometry (optics),Orbit (dynamics),Planet,Astronomy,Radial velocity,Stars,Arithmetic,Mathematics,Engineering,Aerospace engineering"
IMAGING AN 80 au RADIUS DUST RING AROUND THE F5V STAR HD 157587,https://openalex.org/W3103393161,,"Physics,Astrophysics,Debris disk,Asymmetry,Scattering,Sky,Point spread function,Perpendicular,Position angle,Offset (computer science),Astronomy,Stars,Optics,Geometry,Planetary system,Galaxy,Computer science,Mathematics,Quantum mechanics,Programming language"
The International Deep Planet Survey: II. The frequency of directly imaged giant exoplanets with stellar mass,https://openalex.org/W2484864048,"Travis Barman,J. Patience","Exoplanet,Physics,Planet,Astrophysics,Stars,Astronomy,Monte Carlo method,Planetary system,Radial velocity,Context (archaeology),Giant planet,Geology,Paleontology,Statistics,Mathematics"
Extracting Hierarchy of Coherent User-Concerns to Discover Intricate User Behavior from User Reviews,https://openalex.org/W2540326588,Steven Bethard,"Latent Dirichlet allocation,Computer science,Hierarchy,User modeling,Cluster analysis,Topic model,Hierarchical clustering,Information retrieval,Tree (set theory),Collaborative filtering,Recommender system,User interface,Data mining,Human–computer interaction,Artificial intelligence,Mathematics,Mathematical analysis,Economics,Market economy,Operating system"
"Pre-Clovis occupation 14,550 years ago at the Page-Ladson site, Florida, and the peopling of the Americas",https://openalex.org/W2351228025,Brendan Fenerty,"Archaeology,Geography"
CLASH-VLT: A highly precise strong lensing model of the galaxy cluster RXC J2248.7−4431 (Abell S1063) and prospects for cosmography,https://openalex.org/W2283613387,Brenda Frye,"Physics,Astrophysics,Galaxy,Cluster (spacecraft),Mass distribution,Parametric statistics,Galaxy cluster,Medicine,Statistics,Computer science,Programming language,Mathematics"
CLASH-VLT: DISSECTING THE FRONTIER FIELDS GALAXY CLUSTER MACS J0416.1-2403 WITH ∼800 SPECTRA OF MEMBER GALAXIES,https://openalex.org/W2222539859,Brenda Frye,"Physics,Astrophysics,Velocity dispersion,Galaxy,Redshift,Cluster (spacecraft),Galaxy cluster,Brightest cluster galaxy,Astronomy,Computer science,Programming language"
MAPPING THE MOST MASSIVE OVERDENSITY THROUGH HYDROGEN (MAMMOTH). I. METHODOLOGY,https://openalex.org/W3100079670,"Zheng Cai,Xiaohui Fan,Brenda Frye,Ian D. McGreer,J. Xavier Prochaska,Marie Wingyee Lau,Nicolás Tejos","Physics,Quasar,Astrophysics,Redshift,Lyman-alpha forest,Intergalactic medium,Intergalactic travel,Galaxy,Cosmology,Absorption (acoustics),Optical depth,Spectral line,Astronomy,Optics,Aerosol,Meteorology"
CLASH-VLT: Environment-driven evolution of galaxies in the<i>z</i>= 0.209 cluster Abell 209,https://openalex.org/W3098364980,Brenda Frye,"Physics,Astrophysics,Stellar mass,Astronomy,Galaxy,Galaxy cluster,Brightest cluster galaxy,Elliptical galaxy,Star formation"
THE STRUCTURE OF THE CIRCUMGALACTIC MEDIUM OF GALAXIES: COOL ACCRETION INFLOW AROUND NGC 1097,https://openalex.org/W3098363959,Brenda Frye,"Physics,Astrophysics,Halo,Galaxy,Astronomy,Intergalactic travel,Accretion (finance),Redshift"
CLASH-VLT: testing the nature of gravity with galaxy cluster mass profiles,https://openalex.org/W2254826787,Brenda Frye,"Physics,Galaxy,Astrophysics,Galaxy cluster"
THE DETECTION AND STATISTICS OF GIANT ARCS BEHIND CLASH CLUSTERS,https://openalex.org/W2272081199,Brenda Frye,"Physics,Astrophysics,Redshift,Cluster (spacecraft),Halo,Galaxy,Galaxy cluster,Dark matter,Arc (geometry),Geometry,Mathematics,Computer science,Programming language"
Planck’s Dusty GEMS,https://openalex.org/W4293870249,"Brenda Frye,Sangeeta Malhotra","Physics,Astrophysics,Galaxy,Redshift,Astronomy,Star formation,Planck,Milky Way"
Planck’s Dusty GEMS - II. Extended [CII] emission and absorption in the Garnet at z = 3.4 seen with ALMA,https://openalex.org/W2510843355,"Brenda Frye,Sangeeta Malhotra","Physics,Astrophysics,Galaxy,Redshift,Astronomy,Milky Way,Star formation"
Planck's Dusty GEMS. II. Extended [CII] emission and absorption in the Garnet at z=3.4 seen with ALMA,https://openalex.org/W3099283829,"Brenda Frye,Sangeeta Malhotra","Physics,Astrophysics,Galaxy,Redshift,Star formation,Milky Way,Astronomy,Planck"
Viral metabolic reprogramming in marine ecosystems,https://openalex.org/W2340022657,"Bonnie Hurwitz,Jana M. U’Ren","Biology,Metagenomics,Host (biology),Gene,Metabolic network,Function (biology),Metabolic pathway,Flux (metallurgy),Computational biology,Mechanism (biology),Ecology,Genetics,Philosophy,Materials science,Epistemology,Metallurgy"
iVirus: facilitating new insights in viral ecology with software and community data sets imbedded in a cyberinfrastructure,https://openalex.org/W2464076762,"Ken Youens‐Clark,Bonnie Hurwitz","Cyberinfrastructure,Human virome,Biology,Data science,Resource (disambiguation),Citizen science,Metagenomics,Software,Python (programming language),Computer science,Ecology,World Wide Web,Computer network,Biochemistry,Botany,Operating system,Gene,Programming language"
Computational prospecting the great viral unknown,https://openalex.org/W2321452352,"Bonnie Hurwitz,Jana M. U’Ren,Ken Youens‐Clark","Metagenomics,Biology,Human virome,Computational biology,Contig,Host (biology),Population,Gene,Genetics,Genome,Evolutionary biology,Demography,Sociology"
Protocols.io: Virtual Communities for Protocol Development and Discussion,https://openalex.org/W2515307843,"Lori Kindler,Bonnie Hurwitz","Protocol (science),Data science,Special section,Computer science,Open research,Inclusion (mineral),World Wide Web,Biology,Engineering,Medicine,Gender studies,Alternative medicine,Engineering physics,Pathology,Sociology"
Skin and Soft Tissue Infections,https://openalex.org/W4376453134,"Anne Spichler Moffarah,Mayar Al Mohajer,Bonnie Hurwitz,David G. Armstrong","Etiology,Disease,Medicine,Dermatology,Human immunodeficiency virus (HIV),Biology,Pathology,Immunology,Intensive care medicine"
Skin and Soft Tissue Infections,https://openalex.org/W4211039492,"Anne Spichler Moffarah,Mayar Al Mohajer,Bonnie Hurwitz,David G. Armstrong","Impetigo,Fasciitis,Soft tissue,Dermatology,Medicine,Etiology,Skin infection,Staphylococcal Skin Infections,Intensive care medicine,Pathology,Surgery,Staphylococcus aureus,Biology,Bacteria,Genetics"
iVirus: facilitating new insights in viral ecology with software and community datasets imbedded in a cyberinfrastructure,https://openalex.org/W2952246082,"Ken Youens‐Clark,Bonnie Hurwitz","Cyberinfrastructure,Human virome,Computer science,Data science,Resource (disambiguation),Metagenomics,Citizen science,Python (programming language),Software,Annotation,World Wide Web,Biology,Artificial intelligence,Computer network,Biochemistry,Botany,Programming language,Gene,Operating system"
VERVENet: the viral ecology research and virtual exchange network,https://openalex.org/W2334659469,"Lori Kindler,Celina Gomez,James E. Thornton,Bonnie Hurwitz","Ecology,Biology"
VERVENet: the viral ecology research and virtual exchange network,https://openalex.org/W4232211135,"Lori Kindler,Celina Gomez,James E. Thornton,Bonnie Hurwitz","Metagenomics,Biology,Resource (disambiguation),Ecology,DNA sequencing,Community,Molecular ecology,Microbial ecology,Computational biology,Data science,Computer science,Genetics,Sociology,DNA,Gene,Computer network,Population,Demography,Ecosystem,Bacteria"
MG_HW10: Annotate anvio gene calls for function and taxonomy v1,https://openalex.org/W4247215741,Bonnie Hurwitz,"Taxonomy (biology),Function (biology),Computational biology,Gene,Computer science,Information retrieval,Biology,Genetics,Botany"
Compressive Sampling for Detection of Frequency-Hopping Spread Spectrum Signals,https://openalex.org/W2493161812,"Feng Liu,Michael W. Marcellin,Ali Bilgin","Frequency-hopping spread spectrum,Spread spectrum,Compressed sensing,Cyclostationary process,Algorithm,Detection theory,Electronic engineering,Mathematics,Time–frequency analysis,SIGNAL (programming language),Computer science,Telecommunications,Engineering,Code division multiple access,Channel (broadcasting),Radar,Detector,Programming language"
Visually Lossless JPEG 2000 for Remote Image Browsing,https://openalex.org/W2465590047,"Ali Bilgin,Michael W. Marcellin","Lossless compression,JPEG 2000,Computer science,Computer vision,Artificial intelligence,Image resolution,Panning (audio),Image compression,Zoom,Quantization (signal processing),JPEG,Lossless JPEG,Image quality,Data compression,Image processing,Image (mathematics),Optics,Physics,Lens (geology)"
Task-based optimization of flip angle for texture analysis in MRI,https://openalex.org/W2334358514,"Jonathan F. Brand,Lars R. Furenlid,María I. Altbach,Jean Phillippe Galons,Achyut Bhattacharyya,Puneet Sharma,Tulshi Bhattacharyya,Ali Bilgin,Diego R. Martín","Flip angle,Imaging phantom,Magnetic resonance imaging,Texture (cosmology),Biopsy,Computer science,Medicine,Biomedical engineering,Nuclear medicine,Radiology,Artificial intelligence,Image (mathematics)"
Estimation and detection information trade-off for x-ray system optimization,https://openalex.org/W2361091813,"Johnathan B. Cushing,Eric Clarkson,Sagar Mandava,Ali Bilgin","Computer science,Metric (unit),Focus (optics),Data mining,Edit distance,Estimation,Variety (cybernetics),Performance metric,Artificial intelligence,Algorithm,Operations management,Physics,Management,Optics,Economics"
Task-based optimization of flip angle for fibrosis detection in T1-weighted MRI of liver,https://openalex.org/W2480095778,"Jonathan F. Brand,María I. Altbach,Jean-Phillippe Galons,Achyut Bhattacharyya,Puneet Sharma,Tulshi Bhattacharyya,Ali Bilgin,Diego R. Martín","Medicine,Flip angle,Magnetic resonance imaging,Imaging phantom,Biopsy,In vivo,Liver biopsy,Receiver operating characteristic,Nuclear medicine,Radiology,Pathology,Internal medicine,Biotechnology,Biology"
Visibility thresholds for visually lossy JPEG2000,https://openalex.org/W2524919792,"Feng Liu,Yuzhang Lin,Eze Ahanonu,Michael W. Marcellin,Amit Ashok,Ali Bilgin","Lossy compression,Lossless compression,Computer science,JPEG 2000,Quantization (signal processing),Visibility,Encoder,Computer vision,Artificial intelligence,Data compression,Image compression,Optics,Image processing,Image (mathematics),Physics,Operating system"
A Novel Nuclear Function for the Interleukin-17 Signaling Adaptor Protein Act1,https://openalex.org/W2530414952,"Zhou Xu,Lingxiang Zhu,Yin Chen","Signal transducing adaptor protein,Cell biology,Ubiquitin ligase,Biology,Transcription factor,Nuclear localization sequence,Ectopic expression,Signal transduction,Context (archaeology),Nuclear export signal,Ubiquitin,Cytoplasm,Gene,Cell nucleus,Genetics,Paleontology"
Exploration of pathomechanisms triggered by a single-nucleotide polymorphism in titin's I-band: the cardiomyopathy-linked mutation T2580I,https://openalex.org/W2525971810,"Brian Anderson,Henk Granzier","Titin,Sarcomere,Missense mutation,Obscurin,Biology,Cardiomyopathy,Genetics,Context (archaeology),Mutation,Myocyte,Cell biology,Heart failure,Internal medicine,Medicine,Gene,Paleontology"
Beware More than Just the Yellow Snow! A Norovirus Outbreak Associated with a Ski Resort,https://openalex.org/W2469703191,Benjamin Pope,"Outbreak,Environmental health,Norovirus,Public health,Odds,Medicine,Geography,Advertising,Virology,Business,Nursing,Logistic regression,Internal medicine"
"Cooking Meals More Frequently, Eating More Fruits and Vegetables, and Less Fast-Foods among Students in Nutritional Sciences Majors than Non-majors",https://openalex.org/W3183349542,"Brittney R. Taylor,Benjamin Pope,Alexandra M. Franklin,Preston R. Harris,Bobby Wyatt,Nobuko Hongu","Food science,Environmental health,Psychology,Medicine,Biology"
Creating Causal Embeddings for Question Answering with Minimal Supervision,https://openalex.org/W2526352594,"Rebecca Sharp,Peter E. Clark","Question answering,Computer science,Bootstrapping (finance),Causality (physics),Task (project management),Natural language processing,Context (archaeology),Embedding,Casual,Set (abstract data type),Word (group theory),Artificial intelligence,Baseline (sea),Causal model,Word embedding,Machine learning,Information retrieval,Mathematics,Econometrics,Statistics,Materials science,Oceanography,Composite material,Biology,Paleontology,Geometry,Management,Quantum mechanics,Programming language,Physics,Economics,Geology"
A <i>Coccidioides posadasii CPS1</i> Deletion Mutant Is Avirulent and Protects Mice from Lethal Infection,https://openalex.org/W2522912104,"Hema P. Narra,Lisa F. Shubitz,M. Alejandra Mandel,Hien T. Trinh,Kurt Griffin,Adam Buntzman,Jeffrey A. Frelinger,John N. Galgiani,Marc J. Orbach","Biology,Virulence,Microbiology,Coccidioides,Pathogen,Mutant,Nasal administration,Virology,Gene,Genetics"
VDJML: a file format with tools for capturing the results of inferring immune receptor rearrangements,https://openalex.org/W2527996525,Adam Buntzman,"Repertoire,V(D)J recombination,Computational biology,File format,DNA microarray,Biology,Immune receptor,Software,Computer science,Acquired immune system,Immune system,Gene,Genetics,Programming language,Recombination,Gene expression,Physics,Acoustics"
iWAS – A novel approach to analyzing Next Generation Sequence data for immunology,https://openalex.org/W1928465448,"Adam Buntzman,Ali Akoglu,Baiyu Zhang,Jeffrey A. Frelinger","Biology,Computational biology,Immune receptor,Immune system,Receptor,Immunology,Sequence (biology),Pathogenesis,Disease,Genome-wide association study,Informatics,Gene,Genetics,Bioinformatics,Medicine,Single-nucleotide polymorphism,Genotype,Electrical engineering,Engineering,Pathology"
VDJML – tools for capturing the results of inferring immune receptor rearrangements,https://openalex.org/W2641535729,Adam Buntzman,"Computer science,Python (programming language),Suite,File format,Software,Documentation,World Wide Web,Software engineering,Programming language,History,Archaeology"
A Practical Congestion Control Scheme for Named Data Networking,https://openalex.org/W2516030526,"Klaus Schneider,Beichuan Zhang","Computer science,Scheme (mathematics),Network congestion,Computer network,Slow-start,Control (management),Artificial intelligence,Mathematics,Network packet,Mathematical analysis"
Congestion control in named data networking – A survey,https://openalex.org/W2344077679,"Yanjie Ren,Beichuan Zhang","Connectionless communication,Computer science,Computer network,Network congestion,Open research,Architecture,Information-centric networking,World Wide Web,Network packet,Art,Visual arts,Cache"
Named Data Networking of Things (Invited Paper),https://openalex.org/W2398317697,"Teng Liang,Beichuan Zhang","Computer science,Interoperability,Web of Things,Architecture,Context (archaeology),The Internet,Host (biology),Smart objects,Internet of Things,Semantics (computer science),Communications protocol,Computer network,World Wide Web,Art,Paleontology,Ecology,Visual arts,Biology,Programming language"
An experimental investigation of hyperbolic routing with a smart forwarding plane in NDN,https://openalex.org/W3104333539,Beichuan Zhang,"Routing table,Computer science,Packet forwarding,Computer network,Scalability,Overhead (engineering),Equal-cost multi-path routing,Network topology,Forwarding plane,Routing (electronic design automation),Emulation,Routing protocol,Network packet,Hybrid routing,Link-state routing protocol,Static routing,Distributed computing,Database,Economics,Economic growth,Operating system"
Energy Efficient Interest Forwarding in NDN-Based Wireless Sensor Networks,https://openalex.org/W2335646867,Beichuan Zhang,"Computer science,Computer network,Wireless sensor network,Energy consumption,Flooding (psychology),Network packet,Wireless,Energy (signal processing),Efficient energy use,Internet of Things,Distributed computing,Telecommunications,Computer security,Psychotherapist,Biology,Engineering,Psychology,Ecology,Statistics,Mathematics,Electrical engineering"
NDN-NIC,https://openalex.org/W2512330551,"Junxiao Shi,Teng Liang,Beichuan Zhang","Bloom filter,Computer science,Network packet,Computer network,Overhead (engineering),Network interface,Multicast,Unicast,Interface (matter),Operating system,Embedded system,Ethernet,Bubble,Maximum bubble pressure method"
Fetching Popular Data from the Nearest Replica in NDN,https://openalex.org/W2520881200,Beichuan Zhang,"Replica,Computer science,Computer network,Scalability,Router,Dissemination,Latency (audio),Overhead (engineering),Forwarding plane,Distributed computing,Information-centric networking,The Internet,Operating system,Network packet,Cache,Art,Visual arts,Telecommunications"
Towards Zero-Time Wakeup of Line Cards in Power-Aware Routers,https://openalex.org/W2324536278,"Junxiao Shi,Beichuan Zhang","Computer science,Computer network,Network packet,Routing (electronic design automation),Router,Packet processing,Routing table,Embedded system,Routing protocol"
Improving the freshness of NDN forwarding states,https://openalex.org/W2435011444,Beichuan Zhang,"Computer science,Computer network"
PALS: Saving Network Power With Low Overhead to ISPs and Applications,https://openalex.org/W2343968206,"Junxiao Shi,Beichuan Zhang","Computer science,Computer network,Testbed,Overhead (engineering),Multiprotocol Label Switching,Network packet,Routing protocol,Routing table,IP forwarding,Routing (electronic design automation),Router,Metrics,Distributed computing,Quality of service,Operating system"
Supporting Multi-Dimensional Naming for NDN Applications,https://openalex.org/W2587614487,,"Computer science,Network packet,Prefix,Matching (statistics),Bridge (graph theory),Middleware (distributed applications),Translation (biology),Distributed computing,Information retrieval,Computer network,Medicine,Philosophy,Statistics,Linguistics,Biochemistry,Mathematics,Chemistry,Messenger RNA,Internal medicine,Gene"
Towards eco-friendly home networking,https://openalex.org/W2203154474,"Mathias Gibbens,Chris Gniady,Beichuan Zhang","Business,Environmentally friendly,Internet privacy,Computer science,Ecology,Biology"
M3: Practical and reliable multi-layer video multicast over multi-rate Wi-Fi network,https://openalex.org/W2536082788,Beichuan Zhang,"Multicast,Computer science,Unicast,Computer network,Video quality,Network packet,Channel (broadcasting),Wireless network,Bandwidth (computing),Real-time computing,Wireless,Telecommunications,Metric (unit),Operations management,Economics"
On $F$-crystalline representations,https://openalex.org/W1949363551,"Bryden Cais,Tong Liu","Mathematics,Functor,Extension (predicate logic),Class (philosophy),Construct (python library),Pure mathematics,Algebra over a field,Combinatorics,Computer science,Artificial intelligence,Programming language"
Breuil-Kisin Modules via crystalline cohomology,https://openalex.org/W2545243819,Bryden Cais,"Mathematics,Cohomology,Torsion (gastropod),Scheme (mathematics),Extension (predicate logic),Group cohomology,Ring (chemistry),Equivariant cohomology,Étale cohomology,Field (mathematics),Pure mathematics,Discrete mathematics,Mathematical analysis,Computer science,Medicine,Chemistry,Surgery,Organic chemistry,Programming language"
Ground-based near-UV observations of 15 transiting exoplanets: constraints on their atmospheres and no evidence for asymmetrical transits,https://openalex.org/W2296119624,"Jake D. Turner,Kyle A. Pearson,Lauren I. Biddle,Brianna Smart,Robert T. Zellem,Johanna Teske,Kevin K. Hardegree-Ullman,Caitlin Griffith,I. Cates,Megan Nieberding,Carter Thaxton W. Smith,Robert M. Thompson,Ryan Hofmann,M. Berube,Chi H. Nguyen,L. Small,A. M. McGraw,B. A. Raphael,Benjamin E. Crawford,Amy Robertson,R. Tombleson,A. P. Towner,A. Walker-LaFollette,J. Hume,Z. Watson,Charles O. Jones,Matthew J. Lichtenberger,Shelby R. Hoglund,K. Cook,Cory A. Crossen,Curtis R. Jorgensen,James Romine,A. Thompson,Christian F. Villegas,Ashley A. Wilson,B. Sanford,Triana N. Henz","Exoplanet,Physics,Photometry (optics),Transit (satellite),Astrophysics,Astronomy,Light curve,Planet,Hot Jupiter,Wavelength,Stars,Optics,Public transport,Political science,Law"
From image pair to a computer generated hologram for a real-world scene,https://openalex.org/W2519370969,Siyang Cao,"Holography,Wavefront,Optics,Computer science,Artificial intelligence,Holographic display,Computer vision,Viewing angle,Image quality,Process (computing),Computer-generated holography,Image plane,Image (mathematics),Physics,Liquid-crystal display,Operating system"
Study of portable infrastructure-free cell phone detector for disaster relief,https://openalex.org/W2565992977,Siyang Cao,"Transceiver,Phone,Computer science,Software,Base station,Real-time computing,SIGNAL (programming language),Detector,Embedded system,Simulation,Telecommunications,Wireless,Operating system,Philosophy,Linguistics,Programming language"
From RGBD image to hologram,https://openalex.org/W2587787631,Siyang Cao,"Holography,Computer vision,Computer science,Artificial intelligence,Wavefront,Process (computing),Computer-generated holography,Iterative reconstruction,Image plane,Image (mathematics),Computer graphics (images),Optics,Physics,Operating system"
Vascular Cell Adhesion Molecule 1 Is a Promising Target to Identify High-Risk Carotid Plaques Using Contrast-Enhanced Duplex Ultrasound,https://openalex.org/W2485306945,"Craig Weinkauf,Kay Goshima,Rebecca Millius","Medicine,Duplex (building),Ultrasound,Contrast (vision),Contrast-enhanced ultrasound,Radiology,Carotid arteries,Biomedical engineering,Cardiology,Artificial intelligence,DNA,Genetics,Computer science,Biology"
Conditional Benchmarks and the Identification of Skill in Active Management,https://openalex.org/W2286903305,Scott Cederburg,"Portfolio,Active management,Identification (biology),Project portfolio management,Econometrics,Investment management,Actuarial science,Computer science,Economics,Finance,Management,Botany,Project management,Market liquidity,Biology"
Tax Uncertainty and Retirement Savings Diversification,https://openalex.org/W2462567437,"David Brown,Scott Cederburg","Economics,Diversification (marketing strategy),Deferred tax,Tax credit,Progressive tax,Tax reform,Asset (computer security),Labour economics,Public economics,State income tax,Monetary economics,Business,Gross income,Computer security,Marketing,Computer science"
Laminar-Turbulent Transition on a Flared Cone at Mach 6,https://openalex.org/W2415726921,"Christoph Hader,Hermann F. Fasel","Laminar flow,Mach number,Turbulence,Laminar-turbulent transition,Mechanics,Cone (formal languages),Physics,Geology,Aerospace engineering,Optics,Computer science,Engineering,Algorithm"
